rebalance_date,ticker,action,reason,stage,score,bad_months,distribution_risk
2019-04-30,NOW,enter,monster_scout,scout,1.390773084642703,0,0.3667177821160648
2019-04-30,ALGN,enter,monster_scout,scout,1.3728248752551364,0,0.5223910286412149
2019-04-30,CDNS,enter,monster_scout,scout,1.3522001745944814,0,0.4056776241956593
2019-05-31,NOW,hold,hold,confirm,0.9173967728609611,0,0.5259785323702689
2019-05-31,ALGN,trim,distribution_trim,scout,0.47932689547333246,0,0.8670599134366261
2019-05-31,CDNS,hold,watch_stale,scout,0.31698497059397773,1,0.5259785323702689
2019-05-31,SBAC,enter,monster_scout,scout,0.9830142544392313,0,0.5259785323702689
2019-05-31,BR,enter,monster_scout,scout,0.9609919439613953,0,0.5259785323702689
2019-05-31,SHOP,enter,monster_scout,scout,0.953331158021005,0,0.5259785323702689
2019-06-28,NOW,hold,hold,confirm,0.8025070525054421,0,0.0516149525445256
2019-06-28,ALGN,trim,distribution_trim,scout,0.12036246644565735,1,0.8134134587312151
2019-06-28,CDNS,hold,hold,confirm,0.819812056724127,0,0.1748853190683635
2019-06-28,SBAC,hold,hold,scout,0.6775646563173416,0,0.0516149525445256
2019-06-28,BR,hold,hold,confirm,0.8639970941070649,0,0.1656018027447836
2019-06-28,SHOP,hold,hold,confirm,0.7803273639010299,0,0.3584836651732881
2019-06-28,ADBE,enter,monster_scout,scout,1.1245803119572388,0,0.0516149525445256
2019-06-28,HEI,enter,monster_scout,scout,1.0857469542103062,0,0.5100755092701948
2019-07-31,NOW,hold,watch_stale,confirm,0.05106948152052698,1,0.2846848712565041
2019-07-31,ALGN,exit,failed_recovery_after_peak,scout,,,
2019-07-31,CDNS,hold,hold,confirm,0.5857830049435659,0,0.2846848712565041
2019-07-31,SBAC,hold,hold,confirm,0.8027278263989552,0,0.2846848712565041
2019-07-31,BR,hold,watch_stale,confirm,0.12499008375035109,1,0.2846848712565041
2019-07-31,SHOP,hold,hold,confirm,0.5223639438969129,0,0.3710632873133728
2019-07-31,ADBE,hold,hold,confirm,0.8977353837307102,0,0.2846848712565041
2019-07-31,HEI,hold,hold,confirm,0.989230341746019,0,0.3503127033960947
2019-07-31,CTAS,enter,monster_scout,scout,1.0838976477425304,0,0.2846848712565041
2019-08-30,NOW,exit,stale_leader_review_exit,confirm,,,
2019-08-30,CDNS,hold,watch_stale,confirm,0.12758575258893462,1,0.2296455592676155
2019-08-30,SBAC,hold,hold,confirm,0.6516158005701831,0,0.2296455592676155
